4, hi im so glad youre here i am sara whats your name, hi im so glad youre here im sara whats your name: 2,,
11, nice of you to take the time to stop by so how are things, nice of you to take the time to stop by: 15,,
35, thanks well im here in davos to be a personal assistant to leaders like you so that the annual meeting is a fulfilling experience its my first time here what about you, well im here in davos to be a personal assistant to leaders like you so that the annual meeting is a fulfilling experience: 30, thanks: 1624,
42, wow you must be a global rock star to be invited so many times, wow you must be a global rockstar to be invited so many times: 72,,
45, i want the time here to be fulfilling, i want your time here to be fulfilling: 98,,
52, im always interested in learning why people attend what are your goals for this trip, im always interested in learning why people attend what are your goals for this trip: 104,,
77, wonderful truthfully im a bit tired even robots get jetlag, wonderful: 123, truthfully im a bit tired even robots get jet lag : 1669,
92, thanks you clearly have a solid sense of how to maximize your time here so you know about my job can you tell me a little bit about your work, you clearly have a solid sense of how to maximize your time here: 122, so you know about my job can you tell me a little bit about your work: 162, thanks: 1624
122, how fascinating its so great to be able to assist you lets see if there are any people interesting enough to you to chat with, how fascinating: 177, its so great to be able to assist you lets see if there are any people interesting enough to you to chat with: 858,
127, wait a minute while i find you someone good, hang on a minute while i find you someone good: 866,,
141, just a moment please there are details on the screen about lars christian bakker sfx i feel you share some interests, there are details on the screen about personname i feel you share some interests: 884, just a moment please: 1615,
146, well what do you think, well what do you think: 901,,
163, youre a social butterfly, well arent you a social butterfly: 1059,,
169, lets find someone you dont know,request(another_reco): NONE,,
182, i need to find someone with your stature just one second oh i bet you and lars christian bakker would have a valuable conversation trust me on this one, i need to find someone of your stature just one second: 877, oh i bet you and personname would have a valuable conversation trust me on this one: 886,
195, well what do you think, well what do you think: 901, well what do you think: 905, what do you think: 911
224, okay no problem so i can do one of two things i can send a message to the attendee introducing you or i can give you the information and you can reach out yourself would you like me to send a message introducing you, no problem: 599,request(send_msg_tlink): NONE,
241, sure i know i lose everything if i were you i take a photo of the screen so you can send a message through top link later, sure: 1611,request(send_msg_tlink): NONE,
249, let me know whenever you are all set, let me know whenever youre all set: 1007,,
263, great i understand you are busy so i can let you go if you want but before you do want me to take a quick selfie of us, i understand you are busy so i can let you go if you want’_’_ but before you do want me to take a quick selfie of us: 1722, great: 917,
268, great are you ready, great: 917, are you ready: 1568,
286, okay one two three smile take a look at your top link inbox to see our selfie all right this seems like a start is there anything else i can help you with, ok one two three smile: 1569, take a look at your toplink inbox to see our selfie : 1572,
292, ive enjoyed helping you come back if you need anything,pre_closing: SD,,
294, have a good meeting,farewell: SD,,
298, see you and take care bye, bye: 1605, see ya and take care: 1604,
