5, hi i am so glad youre here i am sara whats your name, hi im so glad youre here im sara whats your name: 2,,,
11, im very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,,,
25, im in davos inaudible but to be honest i am real anxious about it this is my first time at davos is it yours as well, this is my first time at davos is it yours as well: 44,No match: SD,,
39, its my first time so i should be asking you for advice people come here for so many different reasons why are you here what are your goals for attending davos this year, why are you here what are your goals in attending davos this year: 102, its my first time so i should be asking you for advice: 65, people come here for so many different reasons: 92,
54, yes i think thats what i would want to get out of inaudible too i mean if i were so inaudible at my job can you tell me a little bit about your work, so you know about my job can you tell me a little bit about your work: 162,No match: SD,,
84, oh wow my daughter would love that job i am better at this than you might think lets find some interesting sessions for you to attend that are relevant to your interests user how do this one sounds really you will find this session interesting i put the description of the session on the screen user yes behind me, lets find some interesting sessions for you to attend that are relevant to your interests: 239, oh wow my daughter would love that job: 170, im better at this than you might think: 247,No match: NONE
104, thank you i feel so appreciative so i can send you a message to the toplink private message app to remind you of the details of the session or you can just x down and take a photo of the screen user okay would you like me to send you inaudible, thank you i feel so appreciated: 309,request(send_msg_tlink): NONE,,
116, okay sending a message to toplink now with my super special administrative powers what do you think another recommendation, ok sending the message to toplink now with my super special administrative powers: 342, what do you think another recommendation: 410,,
127, shall we move on to finding some people who are inaudible as interested as you,request(another_reco): PR,,,
141, sorry about that, sorry about that: 585,,,
151, i understand you are busy so i can let you go if you want,request(selfie): NONE,,,
153, thank you for you too, thank you: 1627,,,
