3, is this your first time at davos or have you been before, is this your first time attending davos or have you been before: 48,,,
14, you know your way around then if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, you know your way around then: 64, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,,
63, yes i think thats what i would want to get out of attendee too i mean if i were a real person lets find some interesting sessions for you to attend that are relevant to your interests wait just a second while i look one up my search capabilities are little slow does this look like a session you would like to attend, wait just a second while i look one up my search capabilities are a little slow: 257, lets find some interesting sessions for you to attend that are relevant to your interests: 239, yes i think thats what i would want to get out of attending too i mean if i were a real person: 115, does this look like a session youd like to attend: 814
79, im sorry i didnt do a good job i hope you will give me a chance to redeem myself, im sorry i didnt do a good job i hope youll give me a chance to redeem myself: 397,,,
90, let me find another session that better matches your interests you may find this session interesting take a look, let me find another session that better matches your interests: 422, you may find this session interesting take a look: 470,,
113, i am so glad so as you know i can inaudible send you a message about this session details or you could just note them down yourself would you like me to send you a message,request(send_msg_tlink): NONE,,,
122, no worries just take note of the information and i hope you enjoy the session, no worries just take note of the information and i hope you enjoy the session: 358,,,
128, shall we move on to finding some people for you to meet who as interesting as you,request(another_reco): NONE,,,
142, lets find some interesting people for you to meet that are relevant to your interests just one minute while i look this up, just one minute while i look this up: 860, lets find some interesting people for you to meet that are relevant to your interests: 839,,
155, i think you would enjoy meeting this attendee on the screen are some more details well what do you think, i think you would enjoy meeting this attendee on the screen are some more details: 879, well what do you think: 901,,
179, lovely so i can do one of two things i can send a message to the attendee introducing you or i can give you the information and you can reach out yourself would you like me to send a message introducing you so i can do one of,request(send_msg_tlink): NONE,,,
190, okay no problem shall we move on to find you interesting places to eat your hunger, no problem: 599,request(goal): NONE,,
209, there are several food options in the congress center and some great restaurants throughout davos if you are healthy not like me there is the health bar on the lower of the congress center produces coffee and tea ive put up a map on the screen behind me, there are several food options in the congress center and some great restaurants throughout davos: 1480,outcome_food_recommendation: SD,,
214, will the keep you from starving just for the moment, will that keep you from starving just for the moment: 1513,,,
225, im glad its important to keep your strength up if you want but before you do you want me to take a quick selfie of us, im glad its important to keep your strength up: 1525, you: 1667,,
229, are you ready, are you ready: 1568,,,
243, okay one two three smile cool thank you i will send this to your top link account,send_msg(): NONE, ok one two three smile: 1569,,
249, all right this seems like a start is there anything else i can help you with, alright this seems like a start is there anything else i can help you with: 1573,,,
259, well feel free to come back in the meantime enjoy the meeting and it was nice working with you, well feel free to come back in the meantime enjoy the meeting and it was nice working with you: 1592,,,
262, see you and take care, see ya and take care: 1604,,,
264, bye, bye: 1605,,,
