6, hi i am sara its such a pleasure to meet you may i ask your name, hi im sara its such a pleasure to meet you might i ask your name: 10,,,
29, its so great inaudible by such interesting people so ive been asked to help people get the most out of davos but the truth is that i feel a little nervous you are one of the people who make davos worthwhile to attend this is my first time at davos is it yours as well, so ive been asked to help people get the most out of davos but the truth is that i feel a little nervous: 24, you are one of the people who make davos worthwhile to attend: 42, this is my first time at davos is it yours as well: 44, its so great to be surrounded by such interesting people: 12
41, i am sure theyre rolling up the red carpet for you if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,No match: PR,,
52, why are you here what are your goals in attending davos this year, why are you here what are your goals in attending davos this year: 102,,,
63, i think you and i have a lot in common so you know about my job can you tell me a little bit about your work, so you know about my job can you tell me a little bit about your work: 162, i think you and i have a lot in common: 116,,
83, id love to do something like that, id love to do something like that: 169,,,
98, i know you probably like to keep up inaudible field lets find some interesting sessions to attend wait just a second while i look one up my search capabilities are a little slow, wait just a second while i look one up my search capabilities are a little slow: 257,request(goal): PR,,
109, you may find this session interesting i have put the description of the session on the screen behind me,inform(info): NONE,,,
115, does this look like a session you would like to attend, does this look like a session youd like to attend: 288,,,
122, i had a feeling maybe its the robot version of a woman’s intuition, i had a feeling maybe its the robot version of a womens intuition: 306,,,
137, in fact i can send you a message through the toplink private message app to remind you of the details of the session or you can just jot them down or take a photo of the screen would you like me to send you a reminder,request(send_msg_tlink): NONE,,,
146, okay i’ll get it to you in a flash would i be able to try again to help you find a session, would i be able to try again to help you find a session: 421, okay ill get it to you in a flash: 343,,
159, i seem to remember one just a moment while i look it up oh i thought this one packs a punch here you go, i seem to remember one just a moment while i look it up: 452, oh i thought this one packs a punch here you go: 471,,
165, care to join this session for a bit, care to join this session for a bit: 487,,,
168, brilliant, brilliant: 505,,,
176, what will it be should i send you a message about the session details or you’ve got a handle on it, what will it be should i send you a message about the session details or youve got a handle on it: 528,,,
196, i knew it would help watch for my message in the toplink message inbox enjoy your session shall we move on to finding some people for you to meet who are as interesting as you, shall we move on to finding some people for you to meet who are as interesting as you: 235, i knew it would help watch for my message in the toplink message inbox enjoy your session: 553,,
204, just a minute while i look this up, just one minute while i look this up: 860,,,
221, heres a good one take a look at the bio on the screen im so curious did i make a good match, heres a good one take a look at the bio on the screen: 888, im so curious did i make a good match: 903,,
246, lovely so i can do one of two things i can send a message to the attendee introducing you or i can give you information so you can reach out yourself would you like me to send a message introducing you, lovely: 918,request(send_msg_tlink): NONE,,
258, thank you then please just feel free to note down or take a photo of the information on the screen, thank you then please just feel free to note down or take a photo of the information on the screen: 988,,,
266, i think events are a great place to meet new people are you like that too,start_person_recommendation_2nd_time_if_prior_feedback_yes: SD,,,
271, do you want me to find some more people who match your interests,request(another_reco): NONE,,,
285, great i really enjoy doing this okay im going out inaudible here but i think i found someone take a look, great i really enjoy doing this: 1055,No match: SD,,
300, that’s great so for this attendee shall i introduce you or would you like to do it yourself, so for this attendee shall i introduce you or would you like to do it yourself: 1191, great: 917,,
311, of course whatever i can do to help you, of course whatever i can do to help you: 1222,,,
318, shall we move on to finding you some places to ease your hunger, shall we move on to finding you some places to ease your hunger: 236,,,
329, you undoubtedly have a fine taste inaudible down the promenade inaudible go to one of the fine restaurants,do_food_recommendation: NONE,,,
341, if you’re a health nut like me theres a health bar on the lower level of the congress centre for juices coffee and tea i have put up a map on the screen behind me,outcome_food_recommendation: SD,,,
355, okay no problem if only i could bring you a personal chef how is this for the moment, if only i could bring my personal chef hows this for the moment: 1523, no problem: 599,,
362, oh good i am always cranky if i don’t get to snack around,feedback_food_recommendation_yes: SD,,,
370, i understand youre busy so i can let you go if you want but before you do wont we need to take a quick selfie of us,request(selfie): NONE,,,
376, sure are you ready, are you ready: 1568, sure: 1611,,
390, okay one two three smile cool thank you i will send this to your toplink account, cool thank you i will send this to your toplink account: 1570, ok one two three smile: 1569,,
396, okay i feel like ive proven my worth here anything else i can help you with, okay i feel like ive proven my worth here anything else i can help you with: 1586,,,
405, i had so much fun with you come back and say hi again as soon as youd like, i had so much fun with you come back and say hi again soon if youd like enjoy the conference: 1593,,,
406, enjoy the conference, i had so much fun with you come back and say hi again soon if youd like enjoy the conference: 1593,,,
410, see you and take…,bye(): NONE,,,
