5, hi im so glad youre here im sara whats your name, hi im so glad youre here im sara whats your name: 2,,,
9, its a pleasure to meet you how are you today, its a pleasure to meet you how are you today: 1666,,,
21, so im here in davos to be your personal assistant and help you to get the most out of the wef experience davos is an amazing event isnt it, so im here in davos to be your personal assistant and help you to get the most out of the wef experience: 21, davos is an amazing event isnt it: 32,,
26, its my first time here what about you, its my first time here what about you: 45,,,
33, oh you are more experienced than i am maybe you should be the one helping people, oh youre more experienced than i am maybe you should be the one helping people: 66,,,
40, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,,,
47, why are you here what are your goals in attending davos this year, why are you here what are your goals in attending davos this year: 102,,,
73, yes i think that’s what i would want to get out of attending too i mean if i were a real person it’s obvious youre an important person can you tell me about what you do, yes i think thats what i would want to get out of attending too i mean if i were a real person: 115, its obvious youre an important person can you tell me about what you do: 166,,
84, you fit right in shall we move on to finding some people for you to meet who are as interesting as you, shall we move on to finding some people for you to meet who are as interesting as you: 235, you fit right in: 168,,
98, dont go anywhere just yet let me have a look can you tell me a bit about what interests you the most, dont go anywhere just yet let me have a look: 859,request(interest): QE,,
140, thats awesome just a moment please i think youd enjoy meeting this attendee on the screen are some more details sound like somebody youd like to meet, i think you would enjoy meeting this attendee on the screen are some more details: 879, thats awesome: 1614, sound like somebody youd like to meet: 900, just a moment please: 1615
165, i agree im so glad so i can do one of two things i can send a message to the attendee introducing you or i can give you the information and you can reach out yourself would you like me to send a message introducing you, im so glad: 1389,request(send_msg_tlink): NONE,,
179, thank you then please just feel free to note down or take a photo of the information on the screen shall i find some other people that  match your interests, thank you then please just feel free to note down or take a photo of the information on the screen: 988,,,
190, okay no problem shall we move on to finding you some interesting sessions to attend, shall we move on to finding you some interesting sessions to attend: 237, no problem: 599,,
207, wait just a second while i look one up my search capabilities are a little slow wow i would love to go to this one you can see the information about it on my screen, wow i would love to go to this one you can see the information about it on my screen: 274, wait just a second while i look one up my search capabilities are a little slow: 257,,
213, im so glad, im so glad: 305,,,
219, i had a feeling maybe its the robot version of a womans intuition, i had a feeling maybe its the robot version of a womens intuition: 306,,,
230, so i can send you a message through the toplink private message app to remind you of the details of the session or you can just jot them down or take a photo of the screen,request(send_msg_tlink): NONE,,,
233, would you like me to send you a reminder,request(send_msg_tlink): NONE,,,
242, okay no problem i understand youre busy so i can let you go if you want,request(selfie): NONE,,,
246, but before you do want me to take a quick selfie of us,request(selfie): NONE,,,
250, are you ready, are you ready: 1568,,,
257, okay one two three smile, ok one two three smile: 1569,,,
261, okay inaudible thank you, thank you: 1627,,,
264, i will send this to your toplink account, cool thank you i will send this to your toplink account: 1570,,,
268, i had so much fun with you, i had so much fun with you come back and say hi again soon if youd like enjoy the conference: 1595,,,
271, come back and say hi again soon if youd like, i had so much fun with you come back and say hi again soon if youd like enjoy the conference: 1595,,,
273, enjoy the conference bye, bye: 1605,,,
