User,SD,PR,HE,VSN,QESD
 pause filler Richard Dacalos,1,0,0,0,0
 I'm doing very well how are you,0,0,0,0,0
 yeah it's my first time,1,0,0,0,0
 yeah it's a [bit,0,0,0,0,0
 I'm looking for people who could assist in distributing my board game,1,0,0,0,0
 I created a board game that allows to people to experience what it's like to set up a business,1,0,0,0,0
 me and (inaudible) already met,1,0,0,0,0
 it seems like a good match,0,0,1,0,0
 pause filler yeah please introduce me,0,0,0,0,0
 okay yes please,0,0,0,0,0
 I think it's a good match,0,0,1,0,0
 please introduce me,0,0,0,0,0
 pause filler I think this is good,0,0,1,0,0
 okay,0,0,0,0,0
 pause filler it's all right,0,0,0,0,0
 no worries it seems okay,0,0,1,0,0
 looks like a good session but I'm already fully [booked,0,0,1,0,0
 looks like a good session but I'm already fully booked,0,0,1,0,0
 sure,0,0,0,0,0
 yep,0,0,0,0,0
 okay,0,0,0,0,0
 thank you,0,0,0,0,0
