User,SD,PR,HE,VSN,QESD
 Monica (sfx),1,0,0,0,0
 good thank you,0,0,0,0,0
 it's my first time here too,1,0,0,0,0
 I'm more excited I think,1,0,0,0,0
 so I got the opportunity to come here with my management team so to interact with people network with people pause filler understand to what's happening on global scale,1,0,0,0,0
 my work (inaudible) communication company pause filler based on Pakistan [I]...,1,0,0,0,0
 and I work for financial inclusion and digital inclusion particularly pause filler and I've been going back provide some time you know,1,0,0,0,0
 thank you,0,0,0,0,0
 sure,0,0,0,0,0
 okay sounds interesting,0,0,0,0,0
 that's good that's (inaudible),0,1,0,0,0
 yes please,0,0,0,0,0
 sure,0,0,0,0,0
 this is at nine yeah yeah sure,0,0,0,0,0
 yes please,0,0,0,0,0
 sure,0,0,0,0,0
 sounds interesting it was interesting more but,0,0,0,0,0
 pause filler yeah maybe I will connect yeah,0,0,1,0,0
 no thank you,0,0,0,0,0
 no thank you,0,0,0,0,0
 sure,0,0,0,0,0
 yeah,0,0,0,0,0
 nice,0,0,0,0,0
 great thank you,0,0,0,0,0
 all right thank you,0,0,0,0,0
