User,SD,PR,HE,VSN,QESD
 my name is Ken,1,0,0,0,0
 a little bit coughing right now,1,0,0,0,0
 okay,0,0,0,0,0
 oh same here,1,0,0,0,0
 yes,0,0,0,0,0
 oh I'm here to meet technology companies investors and likeminded people in the energy sector to,1,0,0,0,0
 I'm in the energy sector and I'm involved in the oil and gas I'm also involved in electricity but my involvement in the electricity is especially in the (inaudible) more like (inaudible) approach to give electricity to the people,1,0,0,0,0
 ah okay,0,0,0,0,0
 mm-hmm,0,0,0,0,0
 ah okay this is more like uh interesting,0,0,0,0,0
 uh it's interesting to meet not really yet I would like to meet more people in the uh electricity sectors which involved in electricity project (inaudible),1,0,1,0,0
 yes ah I meet some people from Phillips and now you're getting better match in me,1,1,0,0,0
 yeah,0,0,0,0,0
 you send the message to the person to introduce me that would be nice,0,0,0,0,0
 thank you so much,0,0,0,0,0
 thank you I just uh I'm quite excited to meet you and I have some,0,1,0,0,0
 and thank you,0,0,0,0,0
 yes why not,0,0,0,0,0
 yes I am ready,0,0,0,0,0
 ah thank you so much bye bye,0,0,0,0,0
 ah thank you so much,0,0,0,0,0
 bye bye,0,0,0,0,0
 see you,0,0,0,0,0
