User,SD,PR,HE,VSN,QESD
 my name is Ali (sfx),1,0,0,0,0
 I'm good how are you,0,0,0,0,0
 mhm okay,0,0,0,0,0
 no this is my third time,1,0,0,0,0
 well it was much more of networking plus basically issues back home share them with people here so people understand more about my community and my situation or our situation,1,0,0,0,0
 I'm a medical doctor and the minister in (inaudible) hospital,1,0,0,0,0
 yes,0,0,0,0,0
 yeah,0,0,0,0,0
 yeah,0,0,0,0,0
 please send me a reminder and let me take a photo and then let's move quickly into another suggestion that you have,0,0,0,0,0
 yes please,0,0,0,0,0
 give me more options I know the guy,1,0,0,0,0
 yeah,0,0,0,0,0
 I know this guy too give me [more],1,0,0,0,0
 yes,0,0,0,0,0
 send me a note about this attendee,0,0,0,0,0
 okay and show me another one please,0,0,0,0,0
 send me a note about this one also please,0,0,0,0,0
 and show me more please,0,0,0,0,0
 next another one,0,0,0,0,0
 yeah I think this is good well Sara thank you very much I have to go because I have meeting [Sara],0,0,0,0,0
 thank you,0,0,0,0,0
 a quick what,0,0,0,0,0
 yes,0,0,0,0,0
 yes,0,0,0,0,0
 [thank you],0,0,0,0,0
 thank [you],0,0,0,0,0
 no thank you very much,0,0,0,0,0
