User,SD,PR,HE,VSN,QESD
 Subui Napoli (sfx),1,0,0,0,0
 I'm well I'm bit running between meetings but generally okay thank you and yourself,0,0,0,0,0
 my first time as well but I'm surely I'm having (inaudible),1,0,0,0,0
 overwhelming maybe not but once you find your way around there is all (inaudible) you I wish...,0,0,1,0,0
 the logistics were easier,0,0,0,0,0
 thank you so much so you will...,0,0,0,0,0
 I run a large (inaudible) company called Schindler it's a hundred and forty-three years old company pause filler we are in the field of elevators and escalator therefore construction and therefore urbanization so I attended the morning session on the Governor's Urban Development meeting and that's setting the field that I find interesting,1,0,0,0,0
 so I'm not sure I understand how could you help me with meeting people I like to interact with or specific people I've been looking for,0,0,1,0,0
 possibly yes I would love to the session which speaks about artificial intelligence and...,1,0,1,0,0
 okay thank you,0,0,0,0,0
 very interesting but that was Monday anything coming up tomorrow Thursday,0,0,1,0,0
 very good,0,1,0,0,0
 very interesting actually I'll walk the loft which is the venue...,0,0,0,0,0
 it would be very kind yes please do send me a remainder thank you,0,0,0,0,0
 thank you very much,0,0,0,0,0
 yes please,0,0,0,0,0
 very good,0,1,0,0,0
 I would definitely love to meet Prof. Nurconch (sfx) very good I don't know him and based on what I read he must be someone very interesting,1,1,0,0,0
 very good,0,1,0,0,0
 that would be so kind thank you so much,0,0,0,0,0
 very good can you help...,0,0,0,0,0
 yes there's someone I would like to meet and I would but I don't know if you could send an email saying I would like to interact with him he's a gentleman called Matthew Ricarrd,0,0,0,0,0
 thank you that's him very good,0,1,0,0,0
 so if you could help me with that that would be very grateful,0,0,0,0,0
 thank you you've been very helpful I need to move on to my next conference,0,1,0,0,0
 very good let's do that yes,0,0,0,0,0
 no give me a [second I'll do it]...,0,0,0,0,0
 very good,0,0,0,0,0
 thank you very much [SARA],0,0,0,0,0
 thank you bye-bye,0,0,0,0,0
