User,SD,PR,HE,VSN,QESD
 uh my name is Cathy (sfx),1,0,0,0,0
 me too,0,0,0,0,0
 uh wonderful I was looking for work to meeting you you are going to be my first robot friend I'm thrilled,1,0,0,0,0
 (laughter) [absolutely],0,0,0,0,0
 oh [thank you],0,0,0,0,0
 uh exactly it's my first time here too first time to stay to (inaudible),1,0,0,0,0
 um that's true but at the same time I'm really thrilled about meeting new people expose to new agenda some grasping all this new stimuli and triggering new ideas,1,0,0,0,0
 okay thank you,0,0,0,0,0
 uh I'm here because my husband is attending uh lots of sessions and he's also a speaker uh,1,0,0,0,0
 absolutely and I had an agenda of enrolling into some interesting new concepts like the new world of senses and project filmmakers etc. etc. and today I attended a very interesting session about high performance it was really amazing speakers were from Formula One and I'm looking for work [for my next...],1,0,0,0,0
 oh no thank you and I'm looking forward to my next session which is about relationships,1,0,0,0,0
 mhm,0,0,0,0,0
 uh my work mmm currently I'm not working but in my previous life I was into corporate communications and crisis management I'm interesting in the agenda I am of course in communications and mutual peeks in politics the new threats the new opportunities uh [but that's...],1,0,0,0,0
 mhm and also I'm interested in sessions like love depression health sports these things,1,0,0,0,0
 (laughter) thank you,0,0,0,0,0
 mhm okay,0,0,0,0,0
 very interesting,0,1,0,0,0
 yeah I'd love too,0,0,0,0,0
 thank you very very [much],0,0,0,0,0
 uh no I would like to introduce myself to him [it will be very busy because people are doing that for you],0,0,0,0,0
 okay I will,0,0,0,0,0
 absolutely,0,0,0,0,0
 uh [good just a moment],0,0,0,0,0
 you are wonderful,0,1,0,0,0
 okay thank you very very much [you are amazing],0,1,0,0,0
 [see you],0,0,0,0,0
