User,SD,PR,HE,VSN,QESD
 Hannah,1,0,0,0,0
 great SARA good day [busy good day,1,0,0,0,0
 it's beyond amazing,0,0,0,0,0
 it's my second,1,0,0,0,0
 no I [(inaudible)…,0,0,0,0,0
 that’d be great,0,0,0,0,0
 more exposure understanding of what's happening here in the world attending some lectures and getting more education about different subjects that you can only get exposed to I guess in this incredible open university,1,0,0,0,0
 I'm a full-time mom,1,0,0,0,0
 sure,0,0,0,0,0
" I've been interested in lectures in education in art in ""pause filler"" in media in technology pause filler healthcare because of my husband pause filler so a lot of things what's happening in the cyberwar you know all these topics that is just all new and pause filler very interesting",1,0,0,0,0
 everybody here is somebody nice to meet  so absolutely yeah,0,0,0,0,0
 no I can reach out myself,0,0,0,0,0
 no that's good thank you,0,0,0,0,0
 sure,0,0,0,0,0
 that sounds good,0,0,1,0,0
 thank you,0,0,0,0,0
 I think [you're just very...,0,0,0,0,0
 I'll take a [photo],0,0,0,0,0
 no that's good I'm good thank you,0,0,0,0,0
 great,0,0,0,0,0
 pause filler okay that sounds good,0,0,0,0,0
 okay,0,0,0,0,0
 thank you,0,0,0,0,0
 yeah have a good day,0,0,0,0,0
 thank you,0,0,0,0,0
 me too,0,0,0,0,0
 thanks you,0,0,0,0,0
 (inaudible),0,0,0,0,0
