User,SD,PR,HE,VSN,QESD
 I am very fine SARA I‰Ûªm having a wonderful time,1,0,0,0,0
 yes it is,0,0,0,0,0
 it‰Ûªs my first time too,1,0,0,0,0
 so part of my goals for attending Davos was to meet people working in the gender space and impact and also in the communications space to ensure that the goals discussed here get heard across the world,1,0,0,0,0
 I am a strategic communication consultant and my job entails taking complex issues and breaking them down and ensuring that people get to understand them,1,0,0,0,0
 please I would be very grateful,0,0,0,0,0
 yes but somebody working more in the development space in Africa,0,0,0,0,0
 absolutely yes she is definitely somebody I would like to meet,1,0,0,0,0
 I will actually send her a message myself thank you very much,0,0,0,0,0
 I shall do wait hold on thank you SARA I have done exactly that,0,0,0,0,0
 yes please,0,0,0,0,0
 I would too excellent thank you very much,0,1,0,0,0
 I shall do it myself thank you very much,0,0,0,0,0
 absolutely yes yes yes yes,0,0,0,0,0
 I would love that I am starving SARA,1,0,0,0,0
 (laughing) the juices at the health bar definitely will keep me from starving thank you,0,0,0,0,0
 yes please how do I do that,0,0,0,0,0
 I am ready,0,0,0,0,0
 bye bye,0,0,0,0,0
 bye bye,0,0,0,0,0
