User,SD,PR,HE,VSN,QESD
 I'm Kaifu (sfx),1,0,0,0,0
 doing great thank you,0,0,0,0,0
 I've been here a total of five times,1,0,0,0,0
 okay,0,0,0,0,0
 I think to understand what the leaders in global opinion are thinking and also to make a lot of friends new friends,1,0,0,0,0
 sure I'm a venture capitalist from China we invest in high-tech companies and we're also investing in the United States largely to learn about the key technology trends that we can bring back to China and before my current job I used to run technology for companies like Microsoft Google and Apple,1,0,0,0,0
 okay so you'll introduce me [to...],0,0,0,0,0
 do you always repeat yourself do you always repeat yourself do you always repeat yourself,0,0,0,1,0
 it's okay yes I'd like to meet David please introduce me,1,0,0,0,0
 you're repeating yourself again again [again],0,0,0,1,0
 yes please I'm shy,1,0,0,0,0
 okay,0,0,0,0,0
 well hunger isn't enough I want to eat something good,1,0,0,0,0
 mm given there are only two choices you seem to have enumerated everything for me,0,0,0,1,0
 yes yeah starvation [is not good],0,0,0,0,0
 mhm okay,0,0,0,0,0
 sure but aren't you going to analyze me isn't this about emotional research,0,0,0,0,0
 okay wonderful thank you [very much],0,0,0,0,0
 no thank you very much thanks for your help,0,0,0,0,0
 same here bye-bye,0,0,0,0,0
