User,SD,PR,HE,VSN,QESD
 pause filler my name is Michelle,1,0,0,0,0
 I'm doing pretty well excited to speak to you as well,0,0,0,0,0
 this is my first time,1,0,0,0,0
 yeah what are some strategies to get the most out of Davos,0,0,0,0,0
 pause filler I am interested in learning new things so pause filler my personal interests are in robotics and space in chemical business but I also want to be exposed to new ideas and thoughts,1,0,0,0,0
 sure,0,0,0,0,0
 okay,0,0,0,0,0
 all right,0,0,0,0,0
 all right I'll keep that in mind actually,0,0,0,0,0
 yeah yes please,0,0,0,0,0
 pause filler sure,0,0,0,0,0
 great thank you,0,0,0,0,0
 sure pause filler I also like to pause filler meet new people if there‰Ûªs any I mean if there's anyone you can recommend,1,0,0,0,0
 that would be great,0,0,0,0,0
 great is there any also other people,0,0,0,0,0
 she seems very interesting I've actually read a little bit about her previously,1,0,0,0,0
 sure,0,0,0,0,0
 okay great is there anyone else,0,0,0,0,0
 yeah yes please yes please,0,0,0,0,0
 okay is there,0,0,0,0,0
 pause filler is there anyone from the chemicals business that you'd recommend,0,0,0,0,0
 pause filler that‰Ûªs actually my father,1,0,0,0,0
 pause filler is there are there any founders of startups that are interesting,0,0,0,0,0
 great yeah can you [make the introduction,0,0,0,0,0
 can you make the introduction great thank you,0,0,0,0,0
 awesome well pause filler it was great meeting you and pause filler,0,1,0,0,0
 yeah sure,0,0,0,0,0
 yeah,0,0,0,0,0
 great thank you,0,0,0,0,0
 pause filler well it's very nice meeting you thank you,0,0,0,0,0
