User,SD,PR,HE,VSN,QESD
 thank you,0,0,0,0,0
 Kirsten,1,0,0,0,0
 I'm very well SARA SARA,0,0,0,0,0
 no I've been here a few times,1,0,0,0,0
 yes,0,0,0,0,0
 I'd like to know more about the Fourth Industrial Revolution,1,0,0,0,0
 are you asking me a question,0,0,0,0,0
 I'm a writer,1,0,0,0,0
 I'm interested in business and politics,1,0,0,0,0
 thank you,0,0,0,0,0
 yes I'd love to see that,0,0,0,0,0
 yes that would be good,0,0,0,0,0
 thank you,0,0,0,0,0
 yes please,0,0,0,0,0
 yes please,0,0,0,0,0
 yes that sounds [great,0,0,0,0,0
 it sounds good,0,0,1,0,0
 I've got a handle on it,0,0,0,0,0
 yes that would be good,0,0,0,0,0
 he sounds very impressive,0,0,0,0,0
 no thank you,0,0,0,0,0
 yes,0,0,0,0,0
 yes please,0,0,0,0,0
 thank you,0,0,0,0,0
 yes,0,0,0,0,0
 [yes,0,0,0,0,0
 yes thank you,0,0,0,0,0
 yes please,0,0,0,0,0
 yes,0,0,0,0,0
 (laughter),0,0,0,0,0
 thank you,0,0,0,0,0
 thank you SARA 05:59.0,0,0,0,0,0
 I [will,0,0,0,0,0
 [bye],0,0,0,0,0
