User,SD,PR,HE,VSN,QESD
 hi Sara my name is (inaudible),1,0,0,0,0
 I‰Ûªm doing great and you,0,0,0,0,0
 (laughter) yeah that sounds about right,0,0,0,0,0
 thank you Sara,0,0,0,0,0
 no it‰Ûªs my second time at Davos how about you,1,0,0,0,1
 a little bit (laughter),0,0,0,0,0
 what do you do Sara,0,0,0,0,1
 um,0,0,0,0,0
 but first I would like to know what do you usually do where are you from,0,0,0,0,1
 but what did you do before that,0,0,0,0,1
yes that would be great but first I want to know more about you,0,0,0,0,0
 oh you were in real estate what did you do in real estate,0,0,0,0,1
 (laughing) sorry Sara (laughing)‰Û_ SARA:[it is (inaudible) to help you achieve your goals] sorry about that well I‰Ûªm interested in education okay I‰Ûªm interested in education workforce development (inaudible),1,0,0,0,0
 yes I‰Ûªm in education I work with kids who are registered in communities in Mexico and I try to keep them in school and develop their skills,1,0,0,0,0
 so‰Û_ SARA:[so I find it interesting‰Û_] you help me find some sessions that would be interesting to me,0,0,0,0,0
 I don‰Ûªt think so can you help me find another one,0,0,0,0,0
 okay,0,0,0,0,0
 yes can I take a picture of you Sara,0,0,0,0,0
 thank you I wanted to show my son,1,0,0,0,0
 no I took a picture of the screen thank you Sara,0,0,0,0,0
 thank you Sara,0,0,0,0,0
 no thank you so much for your help,0,0,0,0,0
 thank you,0,0,0,0,0
 yes that would be great,0,0,0,0,0
 ready,0,0,0,0,0
 can you send it to my message,0,0,0,0,0
 great thank you Sara,0,0,0,0,0
 no thank you Sara,0,0,0,0,0
 bye,0,0,0,0,0
