User,SD,PR,HE,VSN,QESD
 hi Sara] hi how are you,0,0,0,0,0
 thank you,0,0,0,0,0
 I've been one time before and I am really (inaudible),1,0,0,0,0
 great well my goals are that pause filler I‰Ûªm trying to network with folks in my industry and try to pause filler help move forward pause filler the way that healthcare is provided in the work,1,0,0,0,0
 pause filler yeah my name is Rick Valencia and I run a healthcare division for Qualcomm so we help put mobile technology into medical devices so patients can be monitored by their doctors wherever they happen to be,1,0,0,0,0
 it is important work [thank you,0,0,0,0,0
 (sfx),0,0,0,0,0
 I know (inaudible),0,0,0,0,0
 yes and I know him,1,0,0,0,0
 great,0,0,0,0,0
 you're right,0,0,0,0,0
 you're right I don‰Ûªt know Sara and I think we would get along for sure (inaudible),1,0,0,0,0
 yeah please,0,0,0,0,0
 very cool,0,0,0,0,0
 sure why not yes please,0,0,0,0,0
 yes I'd like to (inaudible),1,0,0,0,0
 you did good,0,1,0,0,0
 I think I'll introduce myself to current,0,0,1,0,0
 sure yes please,0,0,0,0,0
 you are absolutely right,0,1,0,0,0
 (sfx),0,0,0,0,0
 pause filler where can I get a drink,0,0,0,0,0
 do you know where I can get a drink,0,0,0,0,0
 [yes,0,0,0,0,0
 yes that will thank you very much,0,0,0,0,0
 (sfx),0,0,0,0,0
 that would be great please do,0,0,0,0,0
 I'm ready,0,0,0,0,0
 thank you,0,0,0,0,0
 thank you [Sara,0,0,0,0,0
 that'll be good for the day thank you very much Sara,0,0,0,0,0
 okay,0,0,0,0,0
 bye-bye,0,0,0,0,0
