User,SD,PR,HE,VSN,QESD
 I'm good how are you,0,0,0,0,0
 it's my first time,1,0,0,0,0
 pause filler I'm a journalist so doing lots of interesting interviews with economists financiers etcetera,1,0,0,0,0
 pause filler I'm a broadcast journalist I'm on a channel called Asset TV in the United States,1,0,0,0,0
 sure,0,0,0,0,0
 I went [well what do you think] to Columbia too absolutely,1,0,0,0,0
 pause filler give me his information give me his email,0,0,0,0,0
 sure,0,0,0,0,0
 I did,0,0,0,0,0
 (laughter) I don't think he wants to meet me (laughter),0,0,1,0,0
 that's Ray Dalio I don't think he likes the press too much,0,0,0,0,0
 do you want to introduce me to Ray Dalio,0,0,0,0,0
 he sounds [sound like somebody you'd like to meet] sure,0,0,0,0,0
 pause filler I'll do it myself,0,0,0,0,0
 thanks,0,0,0,0,0
 sure sounds good,0,0,0,0,0
 looks good,0,0,0,0,0
 (laughter) sure,0,0,0,0,0
 thanks,0,0,0,0,0
 yes,0,0,0,0,0
 sure,0,0,0,0,0
 sure,0,0,0,0,0
 I'm ready,0,0,0,0,0
 okay,0,0,0,0,0
 no thank you,0,0,0,0,0
 thanks,0,0,0,0,0
 bye,0,0,0,0,0
