User,SD,PR,HE,VSN,QESD
 later,0,0,0,0,0
 I'm good thank you how are you,0,0,0,0,0
 sounds good yes [and],0,0,0,0,0
 okay so my name is Saied (sfx) I'm from United Arab Emirates in Dubai I work in the public diplomacy field also communication and media I also work in the North (inaudible) and humanitarian aid and sponsors I'd love to meet people who have the same interest as I am,1,0,0,0,0
 yeah that sounds good,0,0,0,0,0
 yes we are [starting to],0,0,0,0,0
 you are,0,0,0,0,0
 that would be good I'd love also to connect to some people you know with some shared interest on a personal level,1,0,0,0,0
 ah okay,0,0,0,0,0
 yes okay okay yeah maybe,0,0,1,0,0
 no not very sure I'd love...,0,0,0,0,0
 maybe I'd love to meet some people from my region from maybe Middle East countries,1,0,0,0,0
 [Arab countries],0,0,0,0,0
 yeah yeah okay,0,0,0,0,0
 oh yeah he's here Resensa Joni (sfx) I know this guy is he here he's here for how long,0,0,0,0,0
 okay [sounds good],0,0,0,0,0
 yes okay,0,0,0,0,0
 who else is there anybody from the media background from that region or from Middle East media,0,0,0,0,0
 she's good but you know she is from she is not from the Arab (inaudible) she's not from Middle East she's in UK can you find anybody from...,0,0,0,0,0
 yeah,0,0,0,0,0
 yeah he's good also and...,0,0,0,0,0
 can you go to the previous profile I think Zenna (sfx) (inaudible) is making more sense to me than that other sheet,1,0,0,0,0
 can you [send me...],0,0,0,0,0
 yes please you can send introductory message on my behalf to her that would be really helpful,0,0,0,0,0
 yeah,0,0,0,0,0
 okay,0,0,0,0,0
 [okay],0,0,0,0,0
 can you send me some information about it,0,0,0,0,0
 can you email to me please,0,0,0,0,0
 yes okay for now yes,0,0,0,0,0
 oh that will be great how can we do that,0,0,0,0,0
 I'm ready,0,0,0,0,0
 oh that's good,0,0,0,0,0
 thank you [very much Sara],0,0,0,0,0
 thank you bye-bye,0,0,0,0,0
 yeah bye,0,0,0,0,0
