User,SD,PR,HE,VSN,QESD
 (inaudible),0,0,0,0,0
 yes,1,0,0,0,0
 thank you,0,0,0,0,0
 to learn,1,0,0,0,0
 I have pause filler two jobs so one of them is I have a coffee company and the other one is I want to start a (inaudible) for women and to learn more about (sfx) gender equality here at Davos,1,0,0,0,0
 you do,0,0,0,0,0
 okay (laughter) you don‰Ûªt look slow,0,1,0,0,0
 brilliant I should go to that thank you,0,1,0,0,0
 absolutely brilliant thank you,0,1,0,0,0
 maybe,0,0,1,0,0
 yes please,0,0,0,0,0
 that will be great,0,0,0,0,0
 wonderful,0,1,0,0,0
 yes,0,0,0,0,0
 that‰Ûªs very interesting,0,0,0,0,0
 I would love for you to send‰Û_I‰Ûªve got it but it‰Ûªs‰Û_I like that you can send it as well that‰Ûªs really great,0,1,0,0,0
 that'll be great thank you,0,0,0,0,0
 thank you,0,0,0,0,0
 oh yes of course I guess in the end you're right it'll be interesting,0,1,1,0,0
 I'd like to reach out myself thank you,0,0,0,0,0
 thank you I‰Ûªll take a photo of it,0,0,0,0,0
 yes,0,0,0,0,0
 that will be wonderful thank you,0,0,0,0,0
 yeah she seems very interesting I'd like to meet her,0,0,0,0,0
 pause filler why don‰Ûªt you introduce me that would be great,0,0,0,0,0
 thank you you're very kind,0,1,0,0,0
 (laughter) why not that sounds like a good idea,0,1,0,0,0
 yes I'd like that,0,0,0,0,0
 brilliant I've been to the health bar already that‰Ûªs really lovely thank you,1,1,0,0,0
 this is wonderful thank you,0,1,0,0,0
 I‰Ûªm the same [way,1,0,0,0,0
 that would be wonderful can I take a selfie of us how do I do that,0,0,0,0,0
 I'm ready,0,0,0,0,0
 wow,0,1,0,0,0
r,0,1,0,0,0
 I will,0,0,0,0,0
 thank you bye [SARA,0,0,0,0,0
