User,SD,PR,HE,VSN,QESD
 hi I'm Stefan,1,0,0,0,0
 same here first time,1,0,0,0,0
 networking,1,0,0,0,0
 ah I think this is above my pay grade no thank you,0,0,0,0,0
 sure,0,0,0,0,0
 I'll send a message myself thank you,0,0,0,0,0
 okay,0,0,0,0,0
 pause filler hospitality management,1,0,0,0,0
 sure,0,0,0,0,0
 should I answer unfortunately not no,0,0,0,0,0
 no thank you,0,0,0,0,0
 I'm good thank you very much,0,0,0,0,0
 sure,0,0,0,0,0
 yep,0,0,0,0,0
 thank you,0,0,0,0,0
 thanks,0,0,0,0,0
