User,SD,PR,HE,VSN,QESD
 [hi SARA] my name is Astra how are you,1,0,0,0,0
 I'm sure,0,0,0,0,0
 it is it is my first time in Dalvos (pause filler) are people bothering you too much,1,0,0,0,1
 (laughter) okay thank you [very much,0,0,0,0,0
 okay well I am someone who works in education and has for over 20 years (pause filler) I‰Ûªm a dean of a College of Business and Entrepreneurship I‰Ûªm looking for students from all over the world dynamic people who would make good candidates for our MBA program,1,0,0,0,0
 thank you very much it‰Ûªs very kind of you to acknowledge that (pause filler),0,1,0,0,0
 sure,0,0,0,0,0
 absolutely,0,0,0,0,0
 okay future of economic growth,0,0,0,0,0
pause filler,0,0,0,0,0
 no but this looks very good it‰Ûªs time for your nap my children are napping as well so sweet dreams,0,1,0,0,0
 please do,0,0,0,0,0
 okay,0,0,0,0,0
 Durham University (pause filler) (inaudible),0,0,0,0,0
 I think that it would be interesting to meet him since he runs a (inaudible) training this is in the UK absolutely,0,0,1,0,0
 thank you,0,0,0,0,0
 (pause filler) send me a message please and (pause filler) I‰Ûªll sorry no let me I‰Ûªll send him a message don‰Ûªt worry thank you,0,0,0,0,0
 I will do so I‰Ûªll remember his name it‰Ûªs a very interesting name Izza now (pause filler) SARA how many people have you met today how many people have you met today,0,0,0,0,1
 [oh I see,0,0,0,0,0
 (laughter) okay well in that case can you recommend someone who works in (pause filler) colleges of business,0,0,0,0,0
 sure,0,0,0,0,0
 very nice I would Learn: Education,0,1,0,0,0
 you did you did I am going to take a photograph of this if that works with you thank you lovely okay anybody else in Africa that works in education or colleges of business,0,1,0,0,0
 that sounds great thank you,0,0,0,0,0
 okay lovely,0,0,0,0,0
 yeah absolutely,0,0,0,0,0
 thank you (laughter),0,0,0,0,0
 (laughter) thank you very much SARA [goodbye,0,0,0,0,0
 until next time,0,0,0,0,0
 [I wish (inaudible),0,0,0,0,0
