User,SD,PR,HE,VSN,QESD
 my name is Olasio Razor,1,0,0,0,0
 uh I'm doing very well thank you,0,0,0,0,0
 this is my second time here,1,0,0,0,0
 uhm okay i'm just at the end of the week uhm so I was wondering if its if there was any activity that would be recommendable for me,0,0,0,0,0
 uhm I was uh wondering if 3D experience would be still available or not,0,0,0,0,0
 okay I just was there and they said that the last session was already uhm working and that uh it was closed do you think,0,0,0,0,0
 okay well the thing with,0,0,0,0,0
 no thank you very much I was actually interested in that session uhm if there was a way to participate uhm but if not uhm I think I would start by going to a hotel thank you very much,0,0,0,0,0
 ah okay I would be glad,0,0,0,0,0
 yes I am,0,0,0,0,0
