User,SD,PR,HE,VSN,QESD
 (inaudible),1,0,0,0,0
 I'm well thanks how are you,0,0,0,0,0
 yes it is it's my first time in [Davos,1,0,0,0,0
 sometimes,0,0,0,0,0
 I'd like to attend sessions that are related to the Middle East and I'd like to meet people that are highly influential,1,0,0,0,0
 yes I'm the director of corporate communications for a big middle eastern company,1,0,0,0,0
 sure,0,0,0,0,0
 well he looks interesting who else do you have,0,0,0,0,0
 is he attending this year,0,0,0,0,0
 yes I'd like to meet him,1,0,0,0,0
 no thank you I'll send the message myself,0,0,0,0,0
 pause filler sure that‰Ûªs a great idea who else do you know that would match my interests,0,0,0,0,0
 pause filler no next who else do you have,0,0,0,0,0
 what are some of the sessions that you think I'd like,0,0,0,0,0
 sure,0,0,0,0,0
 has the session already passed,0,0,0,0,0
 show me,0,0,0,0,0
 show me sessions tomorrow please can I see sessions tomorrow,0,0,0,0,0
 yes I really like that session,0,0,0,0,0
 yeah please do,0,0,0,0,0
 yes where can I go to eat,0,0,0,0,0
 I think so yes I am okay for now Sara,0,0,0,0,0
 yeah let's do that Sara,0,0,0,0,0
 I'm ready,0,0,0,0,0
 [thank you Sara],0,0,0,0,0
 that‰Ûªs all you‰Ûªve been very helpful Sara you're a good [assistant],0,1,0,0,0
