User,SD,PR,HE,VSN,QESD
 Ganick,1,0,0,0,0
 [nice to meet you],0,0,0,0,0
 yes my first time to Davos,1,0,0,0,0
 we want to meet pause filler interesting businesspeople and politicians,1,0,0,0,0
 I'm a TV producer so I'm the assistant of a journalist and correspondent,1,0,0,0,0
 are you sure,0,0,0,0,0
 (inaudible) (laughter),0,0,0,0,0
 pause filler okay,0,0,0,0,0
 pause filler yeah interesting,0,0,0,0,0
 no that‰Ûªs fine thank you,0,0,0,0,0
 no,0,0,0,0,0
 yes,0,0,0,0,0
 I think it's not the same field,0,0,1,0,0
 do you have other suggestions for me,0,0,0,0,0
 she seems [(inaudible)‰Û_,0,0,0,0,0
 she is absolutely worth my time but pause filler I think the field is wrong,0,0,1,0,0
 media communication health,1,0,0,0,0
 fitness,0,0,0,0,0
 can you suggest any male person,0,0,0,0,0
 can you suggest,0,0,0,0,0
 another male person,0,0,0,0,0
 can you suggest another male person between twenty and forty years,0,0,0,0,0
 can you suggest another male person from Italy Germany or Switzerland between twenty and forty years,0,0,0,0,0
 I think he's from America do you have another suggestion,0,0,1,0,0
 (inaudible),0,0,0,0,0
 no thank you we can stop here,0,0,0,0,0
 pardon,0,0,0,0,0
 for a selfie,0,0,0,0,0
 yes I'm ready,0,0,0,0,0
 [(inaudible),0,0,0,0,0
 no thank you,0,0,0,0,0
 me too,0,0,0,0,0
 bye,0,0,0,0,0
