User,SD,PR,HE,VSN,QESD
 my name is Layla,1,0,0,0,0
 good thank you,0,0,0,0,0
 [thank you],0,0,0,0,0
 (pause filler) this is my first time this is my first time,1,0,0,0,0
 is it okay if I film you,0,0,0,1,0
 thank you,0,0,0,0,0
 thank you so much I want to see as much as possible,0,0,0,0,0
 thank you,0,0,0,0,0
 environment psychology (pause filler) love what else new science and new technologies,1,0,0,0,0
 thank you,0,0,0,0,0
 yes,0,0,0,0,0
 yeah that’s perfect (inaudible) what time is it oh it’s on the twentieth yeah [thank you],0,1,0,0,0
 [thank you] what else would you recommend me (inaudible),0,0,0,0,0
 maybe it’s today it’s now how long does it last,0,0,1,0,0
 yeah it’s a bit too long but thank you,0,0,1,0,0
 that’s on the sixteenth that’s already passed it was yesterday but thank you,0,0,1,0,0
 yeah it’s nice to [meet you],0,0,0,0,0
 yes,0,0,0,0,0
 perfect thank you,0,0,0,0,0
 yes please how do I do it,0,0,0,0,0
 like this,0,0,0,0,0
 [thank you] thank you,0,0,0,0,0
 [thanks] thank you very much have a good day bye,0,0,0,0,0
