User,SD,PR,HE,VSN,QESD
 my name is Toshi (sfx),1,0,0,0,0
 very well a little bit sleepy [thank you very much],1,0,0,0,0
 yes first time I'm also nervous,1,0,0,0,0
 me too,1,0,0,0,0
 thank you,0,0,0,0,0
 um I want to meet a lot of interesting people and I want to get inspired,1,0,0,0,0
 ah so we work in Indonesia mostly and then helping the poor communities by distributing simple technologies,1,0,0,0,0
 thank you,0,0,0,0,0
 okay,0,0,0,0,0
 mm I think it would be interesting,0,0,0,0,0
 oh wow that would be fantastic thank you,0,1,0,0,0
 yes oh I lost my phone actually,1,0,0,0,0
 mm this is good very good,0,1,0,0,0
 yes,0,0,0,0,0
 okay,0,0,0,0,0
 mm,0,0,0,0,0
 um oh yes yes they are very very interesting background yeah good suggestion,0,1,0,0,0
 uh that's fine I will reach out to him directly,0,0,0,0,0
 thank you (inaudible)...,0,0,0,0,0
 okay,0,0,0,0,0
 mm exactly...,0,0,0,0,0
 very interesting very interesting,0,1,0,0,0
 I'll do it myself thank you,0,0,0,0,0
 mm I need coffee actually,0,0,0,0,0
 mhm,0,0,0,0,0
 excellent,0,0,0,0,0
 mhm,0,0,0,0,0
 I am ready,0,0,0,0,0
 thank you,0,0,0,0,0
 no thank you very interesting,0,0,0,0,0
 [thank you so much] bye,0,0,0,0,0
