User,SD,PR,HE,VSN,QESD
 my name is Eric thanks for taking time,1,0,0,0,0
 it’s wonderful it’s the highlight of the year,0,0,0,0,0
 I’ve been here many times 15 times,1,0,0,0,0
 thank you I think it’s all about trying to find your way working the forum that’s really what’s … it’s not whether you’re a rock star or not it’s really finding ways of collaborating with one another,1,0,0,0,0
 I’m an economist I’m working deeply on emerging economies so economies that still have to catch up in terms of world (inaudible) technology and all the challenges that they’re facing some of them are specific to them some of them are global challenges for everybody,1,0,0,0,0
 well join us,0,0,0,0,0
 okay,0,0,0,0,0
 (crosstalk) yes absolutely I actually know who he is I haven’t met him but absolutely very interested in what he’s doing,1,0,1,0,0
 well why not see how it works thank you,0,0,0,0,0
 wonderful,0,0,0,0,0
 yeah that would be great fantastic,0,1,0,0,0
 sure I know who she is I never met her actually,1,0,0,0,0
 okay please introduce me that’s very nice thank you,0,0,0,0,0
 wonderful thank you,0,0,0,0,0
 yes that would be great I’m getting hungry,1,0,0,0,0
 wonderful,0,0,0,0,0
 no I think I like the health side of this I mean I’m not sure about the pastry I eat too much pastry,1,0,1,0,0
 me too,1,0,0,0,0
 sure thank you I will like that,0,0,0,0,0
 I am ready,0,0,0,0,0
 no you have been most splendid thank you so much,0,1,0,0,0
 bye bye thank you,0,0,0,0,0
