User,SD,PR,HE,VSN,QESD
 I'm good how about you SARA,0,0,0,0,1
 oh first time for me too,1,0,0,0,0
 no it's quite good I'm okay no I'm doing good,0,0,0,0,0
 actually I have come pause filler here (inaudible) so I'm just looking forward to attend some sessions and meet some big people and have an experience in Davos,1,0,0,0,0
 yeah absolutely,0,0,0,0,0
 sorry can you repeat repeat the question,0,0,1,0,0
 pause filler music pause filler meeting people pause filler shopping then pause filler traveling and probably reading some books,1,0,0,0,0
 sure,0,0,0,0,0
 okay artists on the frontlines fighting the Taliban with music okay,0,0,0,0,0
 pause yeah kind of,0,0,1,0,0
 yeah,0,0,0,0,0
 okay thank you,0,0,0,0,0
 okay,0,0,0,0,0
 sure no problem,0,0,0,0,0
 yeah exactly I am actually attending this session I have already signed it up for this session,1,0,0,0,0
 I know you are so good SARA,0,1,0,0,0
 okay,0,0,0,0,0
 mm-hmm,0,0,0,0,0
 (inaudible),0,0,0,0,0
 yeah sounds interesting,0,0,0,0,0
 pause filler no probably I will reach out pause filler myself,0,0,1,0,0
 okay,0,0,0,0,0
 yeah yep I'm done,0,0,0,0,0
 (inaudible) secretary (inaudible) maybe somebody else,0,0,1,0,0
 maybe somebody from film industry,0,0,1,0,0
 yeah kind of,0,0,1,0,0
 okay,0,0,0,0,0
 yeah,0,0,0,0,0
 okay,0,0,0,0,0
 I'm good pause filler SARA,0,0,0,0,0
 okay,0,0,0,0,0
 yep,0,0,0,0,0
 [thank you SARA,0,0,0,0,0
 okay thank you [SARA,0,0,0,0,0
 sure,0,0,0,0,0
 bye SARA,0,0,0,0,0
