User,SD,PR,HE,VSN,QESD
 I'm Lora I'm Lora,1,0,0,0,0
 yes actually yeah,1,0,1,0,0
 great thank you what do you need to know,0,0,0,0,1
 pause filler I'd like to know pause filler what are the sessions that really help me learn how to live better,1,0,0,0,0
 and what sorry I'm not sure I got this,0,0,1,0,0
 okay cool,0,0,0,0,0
 okay,0,0,0,0,0
 pause filler who are the speakers in this session I'm not sure I understand what nexus is,0,0,1,0,0
 no I don't think I'd like to go to that session,0,0,1,0,0
 okay but I don't think I'd like to go to this session,0,0,1,0,0
 yeah sure,0,0,0,0,0
 okay,0,0,0,0,0
 okay,0,0,0,0,0
 yeah actually the title that already much better pause filler really it talks better to what I like pause filler and I see it's in exchange is this kind of a workshop,0,0,1,0,0
 great yeah that's cool that's on Friday I don't think I'm free at this time though,0,0,0,0,0
 yeah thank you yes please,0,0,0,0,0
 okay thank you,0,0,0,0,0
 pause filler yes yeah I'd like to know I'd like to know more about who are here,0,0,0,0,0
 okay,0,0,0,0,0
 okay cool,0,0,0,0,0
 yeah yeah yeah for sure pause filler he's a great designer I heard of him I don't [know if I will take,1,0,0,0,0
 okay (inaudible) in federal maybe with handle right I mean he is quite [impressive,0,0,1,0,0
 pause filler no thank you no SARA (laughter) no,0,0,0,0,0
 no I'm not hungry right now I'm okay thank you how do you feel [SARA,1,0,0,0,1
 I'm curious about to know how are you feel don't you work too hard,0,0,0,0,1
 no okay good because I see you all day around here you must be tired now,0,0,0,0,1
 okay (laughter),0,0,0,0,0
 yeah please I’d love to,0,0,0,0,0
 yes I'm ready,0,0,0,0,0
 thank you so much I will (inaudible),0,0,0,0,0
 yeah,0,0,0,0,0
 thank you bye,0,0,0,0,0
 thank...,0,0,0,0,0
