User,SD,PR,HE,VSN,QESD
 yes it's Pravine Bayereen Nayyar how are you,1,0,0,0,0
 I've been here three times and it i's [overwhelming I know (inaudible),1,0,0,0,0
 I've tried try as much as I can,0,0,0,0,0
 oh probably not it's my first time here,1,0,1,0,0
 that wasn‰Ûªt me someone else,0,0,0,0,0
 go ahead,0,0,0,0,0
 sure I'm a professor at a business school in New York City,1,0,0,0,0
 can you tell me a little [bit about what you‰Û_,0,0,0,0,1
 okay,0,0,0,0,0
 sure so I teach at a business school and I teach a couple of different topics one of them being pause filler strategy and the other operations and my students are looking towards getting a degree in pause filler business administration,1,0,0,0,0
 pause filler interesting yes but pause filler let me just point out that one of the reasons I come to a meeting like this is to actually not meet people who has similar interests to mine pause filler and try to meet folks who have pause filler completely different interests and go -to sessions where I would learn knew things which I would not already know about,1,0,1,0,0
 it's okay that wi‰Ûªll be nice,0,0,0,0,0
 sure,0,0,0,0,0
 oh that‰Ûªs okay take your time [(inaudible),0,0,0,0,0
 yeah that‰Ûªs interesting I actually met with Justine pause filler yesterday and we had a long conversation right outside and she told me a little bit about pause filler what you do so she advertise shall we try someone else I don‰Ûªt want an academic [I don‰Ûªt want to know talk about academic] 04:03.6,1,0,0,0,0
 thank you,0,0,0,0,0
 well you know pause filler he you seem to be focused on having me talk tohrough other academics and you know I got enough of academics where I look work and on in other conferences so I'm not here to talk about with another academic so I guess I'm not communicating clearly what my interests are pause filler,1,0,0,0,0
 please that woul‰Ûªll d be great thank you,0,0,0,0,0
 I'm just reading,0,0,0,0,0
 yes that will be great thank you,0,0,0,0,0
 pause filler how about a session that talks about pause filler you know women's role in the Fourthfull industrial Industrial revolution Revolution all or the effects ofat the full Fourth industrial Industrial revolution Revolution on women and their work and their condition and in society,0,0,0,0,0
 yeah there's it‰Ûªs a possibility I would‰Ûªll make a lot note of it,0,0,0,0,0
 sure that would‰Ûªll be great,0,0,0,0,0
 okay I'm sorry I will do have to go to another meeting so,1,0,0,0,0
 that‰Ûªll be great,0,0,0,0,0
 no no thank you,0,0,0,0,0
 okay,0,0,0,0,0
 thank you you too bye,0,0,0,0,0
 you too,0,0,0,0,0
