User,SD,PR,HE,VSN,QESD
 David David Taylor,1,0,0,0,0
 very well it is fascinating to meet the people that you can meet her at Davos,1,0,0,0,0
 it‰Ûªs my first time as well,1,0,0,0,0
 yes [yes],0,0,0,0,0
 I have several objectives I would love to learn more about the digital transformation it‰Ûªs an opportunity to meet with many government officials it‰Ûªs an opportunity to meet with customers,1,0,0,0,0
 yes I‰Ûªm the CEO of Procter and Gamble a consumer products company,1,0,0,0,0
 very good [digital rendering‰Û_],0,1,0,0,0
 yes I think that would be very interesting and anything in the area of digital transformation or applying analytics or augmented reality or virtual reality or machine learning all of those are interesting to me,1,0,1,0,0
 let‰Ûªs see yeah that‰Ûªs very interesting that‰Ûªs very interesting (inaudible),0,1,0,0,0
 very good [very good],0,1,0,0,0
 I‰Ûªm not going to be here on Monday so I won‰Ûªt be able to go to oh no that was Monday that already happened that‰Ûªs passed so no,1,0,0,0,0
 oh all week yes send me a reminder please,0,0,0,0,0
 very good thank you,0,1,0,0,0
 yes yes please do (laughing),0,0,0,0,0
 yes Microsoft is a partner company and actually I‰Ûªm trying to meet Satya Nadella the CEO of Microsoft so Jean Phillipe could be a very good person to meet,1,0,0,0,0
 no thank you,0,0,0,0,0
 [thank you I‰Ûªve got to go now] sure let‰Ûªs take a [selfie of us],0,0,0,0,0
 yes,0,0,0,0,0
 okay thank you,0,0,0,0,0
