User,SD,PR,HE,VSN,QESD
 (inaudible) (pause filler) Koichi,1,0,0,0,0
 (pause filler) (inaudible) very fine so I just want to know the (pause filler) sorry (inaudible) for interesting event today so could you let me know what you recommend,1,0,0,0,0
 [(inaudible)],0,0,0,0,0
 hi,0,0,0,0,0
 all right it‰Ûªs okay (pause filler) I was just looking for an interesting event today so if possible I hope to you know watch (pause filler),1,0,0,0,0
 oh yes,0,0,0,0,0
 yeah (pause filler) I‰Ûªm very interested you know in this event related with (pause filler) Industry 4.0,1,0,0,0,0
 (inaudible) it has been already ended,0,0,0,0,0
 (inaudible) looking for that,0,0,0,0,0
 (inaudible),0,0,0,0,0
 (sfx) (inaudible) already (pause filler) this is still continue (pause filler) (inaudible) back look very,0,0,0,0,0
 interesting guy,0,0,0,0,0
 yeah (pause filler) okay it‰Ûªs good,0,0,0,0,0
 (inaudible) I beg your pardon,0,0,0,0,0
 yes sure thank you,0,0,0,0,0
 (pause filler) I just want to know,0,0,0,0,0
 yes and (pause filler) I just want to know where the guest restaurant is,1,0,0,0,0
 yes,0,0,0,0,0
 (pause filler),0,0,0,0,0
 yeah that‰Ûªs good thank you,0,0,0,0,0
 okay thank you,0,0,0,0,0
 sure (inaudible),0,0,0,0,0
 (sfx) amazing,0,1,0,0,0
 okay thank you,0,0,0,0,0
 okay yeah,0,0,0,0,0
