User,SD,PR,HE,VSN,QESD
 Alvira Odeth (sfx),1,0,0,0,0
 good,0,0,0,0,0
 no this is my first time my first time,1,0,0,0,0
 I hope so,0,0,0,0,0
 as a government official at least to meet people and as well to present my country,1,0,0,0,0
 I'm minister of economy,1,0,0,0,0
 thank you,0,0,0,0,0
 yeah,0,0,0,0,0
 okay,0,0,0,0,0
 okay,0,0,0,0,0
 yes interesting,0,0,0,0,0
 it's interesting session but I...,0,0,1,0,0
 no it is interesting but it's at two-thirty and now is three-thirty so it's over,0,0,1,0,0
 sure,0,0,0,0,0
 I say yeah it is interesting SARA session,0,0,0,0,0
 yeah,0,0,0,0,0
 sure,0,0,0,0,0
 sure yes,0,0,0,0,0
 sure I like to meet him at least we have same education background,1,0,0,0,0
 yeah,0,0,0,0,0
 sure you can try yes,0,0,0,0,0
 very interesting,0,0,0,0,0
 yeah yes,0,0,0,0,0
 okay,0,0,0,0,0
 okay,0,0,0,0,0
 okay,0,0,0,0,0
 yeah of course,0,0,0,0,0
 sure yes,0,0,0,0,0
 yes,0,0,0,0,0
 okay,0,0,0,0,0
 no thank you,0,0,0,0,0
 thank you,0,0,0,0,0
 thank you,0,0,0,0,0
