User,SD,PR,HE,VSN,QESD
 (inaudible),0,0,0,0,0
 I'm good,0,0,0,0,0
 yes,0,0,0,0,0
 (sfx) well my goals is to pause filler meet with individuals pause filler to pause filler advance my career I currently work in the aviation industry so I'd love to meet people that have either aviation travel or also logistics,1,0,0,0,0
 hopefully so,0,0,0,0,0
 perfect,0,0,0,0,0
 I've already signed up for that session thank you,1,0,0,0,0
 yes,0,0,0,0,0
 yes,0,0,0,0,0
 yes please send me a message,0,0,0,0,0
 yes,0,0,0,0,0
 good,0,0,0,0,0
 yes,0,0,0,0,0
 yes please send a message to Mr. Wilson,0,0,0,0,0
 do you have any more individuals that you can introduce me to,0,0,0,0,0
 I've actually met her,0,0,1,0,0
 can you introduce me to another individual,0,0,0,0,0
 that is a good match can you introduce me to him,0,0,0,0,0
 thank you,0,0,0,0,0
 definitely let's see [for some special events,0,0,0,0,0
 would there be another party that would have maybe people of my interest,0,0,0,0,0
 sure,0,0,0,0,0
 I am now,0,0,0,0,0
 no thank you for your time,0,0,0,0,0
 see you,0,0,0,0,0
 bye-bye,0,0,0,0,0
