User,SD,PR,HE,VSN,QESD
 Gary,1,0,0,0,0
 I'm well thank you,0,0,0,0,0
 it's my twelfth time,1,0,0,0,0
 pause filler my goals are to connect with people and sessions that can have an impact on (inaudible) world,1,0,0,0,0
 I work on advancing health access and addressing health issues among low-resource populations throughout the world,1,0,0,0,0
 sure,0,0,0,0,0
 yes thank you I'm planning‰Û_,0,0,0,0,0
 I believe I'm planning to attend that session but (inaudible)...,1,0,1,0,0
 pause filler perhaps,0,0,0,0,0
 pause filler not necessary I'm already planning to attend that session,1,0,0,0,0
 sure,0,0,0,0,0
 yes that's a good choice I do know Sanya already and we've already met during this meeting,1,0,0,0,0
 I do not know him I've not met him before and yeah I think he would be an interesting person to meet,1,0,0,0,0
 let me think for a moment,0,0,0,0,0
 yes I would,1,0,0,0,0
 [I'm] not sure if I'll have time but it‰Ûªll be nice to send a message,1,0,1,0,0
 thank you,0,0,0,0,0
 let's try one more,0,0,0,0,0
 he seems very interesting but I don't think I would be able to meet with him today,0,0,1,0,0
 to do what excuse me,0,0,1,0,0
 sure yes I like to find a place to have lunch today,0,0,0,0,0
 in the main lobby...,0,0,0,0,0
 sure,0,0,0,0,0
 sure,0,0,0,0,0
 I'm ready,0,0,0,0,0
 no but thank you for your help,0,0,0,0,0
 bye-bye,0,0,0,0,0
