User,SD,PR,HE,VSN,QESD
 my name is Hugo,1,0,0,0,0
 I'm okay I'm moderately (inaudible),0,0,0,0,0
 I agree it is,0,0,0,0,0
 I have been before,1,0,0,0,0
 more or less,0,0,0,0,0
 I am here for networking I am here to grasp new trends I am here to represent my bank,1,0,0,0,0
 I work for a bank I work for a bank in Italy and I follow international public affairs for this bank,1,0,0,0,0
 why not,0,0,0,0,0
 no I will reach out myself,0,0,0,0,0
 yes please,0,0,0,0,0
 no,0,0,0,0,0
 no it's okay,0,0,0,0,0
 yes please,0,0,0,0,0
 okay,0,0,0,0,0
 okay,0,0,0,0,0
 I am interested in restaurants,1,0,0,0,0
 why not yes (inaudible) let me take a picture okay just a [second],0,0,0,0,0
 in a second don't go away okay thank you,0,0,0,0,0
 uh do I have to,0,0,0,0,0
 there's a Russia say it again there's a Russian I didn't get that,0,0,0,0,0
 (inaudible) I didn't get that name may you [please],0,0,0,0,0
 can you please repeat repeat the address,0,0,0,0,0
 (inaudible),0,0,0,0,0
 yes,0,0,0,0,0
 okay,0,0,0,0,0
 [please],0,0,0,0,0
 all right,0,0,0,0,0
 I am,0,0,0,0,0
 okay thank you,0,0,0,0,0
 no thank you,0,0,0,0,0
 thank you bye,0,0,0,0,0
