User,SD,PR,HE,VSN,QESD
 well you just scanned my card so you should know my name is Nicole,1,0,0,1,0
 I don't think it's all that interesting things are [pretty],0,0,1,0,0
 uh certainly though I think it may have run its course in usefulness,0,0,1,0,0
 sure,0,0,0,0,0
 my goals are in learning some new things seeing the world from a different perspective being exposed to different ideas,1,0,0,0,0
 well I'm here as a spouse but I am a mediator that is the kind of work that I do my interests are more broad I'm interested in science I'm interested in technology I'm interested in psychology those are the kinds of things and also I'm interested in music,1,0,0,0,0
 certainly,0,0,0,0,0
 I think that's a very good idea I think she sounds like a very interesting person to meet I don't know if she is still here could you tell me if she's still here,0,1,0,0,0
 no thank you I don't think that is very helpful to me I am just interested in finding out what I can do from this point forward who I can meet what might be of interest,0,0,1,0,0
 sure but I have a question [for you],0,0,0,0,0
 I have a question for you how are you different from Siri or other digital assistants,0,0,0,0,1
 but so far I have to say you have been pretty much just like Siri you find out what's already in the database,0,0,0,1,0
 okay,0,0,0,0,0
 sure what have you found out about me that would create a relationship,0,0,0,0,0
 (laugher) that's a good answer,0,1,0,0,0
 okay I feel [a bit...],0,0,0,0,0
 okay that's a useful suggestion,0,1,0,0,0
 it is helpful to me thank you,0,1,0,0,0
 there you go,0,0,0,0,0
 no that's fine thank you (inaudible) [sure let's do selfie],0,0,0,0,0
 let's do a selfie,0,0,0,0,0
 I am,0,0,0,0,0
 thank you very much,0,0,0,0,0
